,gps_height,longitude,latitude,basin,region,extraction_type_class,management_group,payment,quality_group,source_class,waterpoint_type_group,target
18005,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,never pay,good,groundwater,hand pump,1
18011,0,33.15950256,-2.59415245,Lake Victoria,Mwanza,manual,user-group,never pay,other,groundwater,hand pump,1
18016,0,31.42383406,-1.62003748,Lake Victoria,Kagera,manual,user-group,never pay,good,groundwater,hand pump,0
18031,1197,32.96384185,-2.08068235,Lake Victoria,Mwanza,other,user-group,never pay,good,surface,communal standpipe,0
18039,1319,33.96659764,-1.65223242,Lake Victoria,Mara,manual,user-group,unknown,good,groundwater,hand pump,0
18040,1343,34.37495976,-1.95442957,Lake Victoria,Mara,manual,user-group,other,good,groundwater,hand pump,1
18051,0,32.7021445,-3.34873162,Lake Victoria,Shinyanga,manual,user-group,other,good,groundwater,hand pump,1
18061,0,31.39454043,-1.12998048,Lake Victoria,Kagera,manual,user-group,never pay,good,groundwater,hand pump,1
18066,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,other,good,groundwater,hand pump,1
18068,1166,33.35089247,-1.71497646,Lake Victoria,Mwanza,manual,other,never pay,good,groundwater,hand pump,0
18095,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,other,good,groundwater,hand pump,0
18102,0,30.98285593,-1.67951515,Lake Victoria,Kagera,other,user-group,never pay,good,groundwater,communal standpipe,1
18109,0,31.46016412,-1.48721923,Lake Victoria,Kagera,other,user-group,never pay,good,surface,communal standpipe,1
18115,0,33.30439813,-2.71151536,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,0
18117,1161,33.22832884,-2.10403473,Lake Victoria,Mara,manual,user-group,other,other,groundwater,hand pump,0
18119,0,33.30313207,-2.79730205,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,1
18125,0,0.0,-2e-08,Lake Victoria,Mwanza,manual,user-group,never pay,unknown,groundwater,hand pump,0
18131,0,33.0146927,-2.47048636,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,0
18140,1332,34.61117894,-1.64650445,Lake Victoria,Mara,manual,user-group,unknown,other,groundwater,hand pump,1
18158,0,31.45553134,-2.13202585,Lake Victoria,Kagera,other,user-group,never pay,good,groundwater,communal standpipe,0
18165,0,32.14419157,-2.40759957,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,0
18173,0,34.27058549,-2.99807734,Lake Victoria,Shinyanga,manual,user-group,never pay,good,groundwater,hand pump,1
18178,0,33.28801016,-2.82999146,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,1
18192,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,unknown,good,groundwater,hand pump,1
18204,1370,34.37975125,-1.7869418999999995,Lake Victoria,Mara,manual,user-group,never pay,good,groundwater,hand pump,1
18217,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,other,other,groundwater,hand pump,1
18219,0,32.96141018,-2.6468057000000003,Lake Victoria,Mwanza,manual,user-group,other,good,groundwater,hand pump,1
18254,0,32.62852766,-3.63201561,Lake Victoria,Shinyanga,manual,user-group,unknown,other,groundwater,hand pump,0
18257,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,other,good,groundwater,hand pump,1
18262,0,33.53321842,-2.78558183,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,1
18263,0,32.637826399999994,-2.82061393,Lake Victoria,Mwanza,manual,user-group,never pay,other,groundwater,hand pump,1
18266,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,never pay,good,groundwater,hand pump,0
18279,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,unknown,good,groundwater,hand pump,1
18281,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,unknown,other,groundwater,hand pump,0
18283,0,34.41575521,-2.91469818,Lake Victoria,Shinyanga,manual,user-group,never pay,good,groundwater,hand pump,1
18285,0,33.65032605,-2.69477529,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,0
18292,0,31.83734811,-2.62017494,Lake Victoria,Kagera,manual,user-group,never pay,other,groundwater,hand pump,1
18293,0,31.853211199999997,-1.16240084,Lake Victoria,Kagera,other,user-group,never pay,good,surface,communal standpipe,0
18301,0,33.55395928,-2.83141883,Lake Victoria,Shinyanga,manual,user-group,never pay,good,groundwater,hand pump,1
18302,0,32.84323457,-2.91435885,Lake Victoria,Mwanza,mechanical,user-group,never pay,unknown,surface,communal standpipe,1
18314,0,33.27995416,-2.75349267,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,1
18316,0,0.0,-2e-08,Lake Victoria,Mwanza,mechanical,user-group,never pay,good,surface,communal standpipe,1
18318,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,parastatal,never pay,good,groundwater,hand pump,0
18325,1214,34.0865708,-1.11325161,Lake Victoria,Mara,mechanical,user-group,other,good,surface,communal standpipe,0
18340,0,31.52915572,-1.59126046,Lake Victoria,Kagera,other,user-group,never pay,good,groundwater,communal standpipe,0
18342,0,30.55329562,-2.77493266,Lake Victoria,Kagera,manual,user-group,never pay,good,groundwater,hand pump,1
18346,1270,33.85798141,-1.78957867,Lake Victoria,Mara,manual,user-group,unknown,good,groundwater,hand pump,0
18347,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,other,good,groundwater,hand pump,0
18350,0,32.09395106,-2.43455858,Lake Victoria,Mwanza,manual,user-group,never pay,other,groundwater,hand pump,1
18353,0,31.20746926,-1.42079421,Lake Victoria,Kagera,other,user-group,never pay,good,surface,communal standpipe,0
18356,0,33.69109341,-2.98589656,Lake Victoria,Shinyanga,manual,user-group,other,good,groundwater,hand pump,1
18359,0,33.5123157,-2.96763928,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,0
18362,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,never pay,good,groundwater,hand pump,0
18366,0,34.09230556,-3.09750176,Lake Victoria,Shinyanga,manual,user-group,other,good,groundwater,hand pump,1
18368,1328,34.41018287,-1.60386782,Lake Victoria,Mara,other,commercial,never pay,good,groundwater,communal standpipe,1
18373,0,30.65445742,-1.26870464,Lake Victoria,Kagera,other,user-group,never pay,good,groundwater,communal standpipe,1
18381,1364,34.219360200000004,-2.96014784,Lake Victoria,Shinyanga,manual,user-group,never pay,good,groundwater,hand pump,1
18414,1176,33.54412306,-2.06452522,Lake Victoria,Mara,other,parastatal,unknown,good,surface,communal standpipe,0
18415,0,33.47057134,-2.83222413,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,1
18423,0,30.53406751,-2.43335547,Lake Victoria,Kagera,other,user-group,never pay,good,groundwater,communal standpipe,0
18436,0,30.59931715,-2.44661048,Lake Victoria,Kagera,other,user-group,never pay,good,groundwater,communal standpipe,0
18439,0,32.71375664,-2.97924754,Lake Victoria,Mwanza,manual,user-group,never pay,other,groundwater,hand pump,1
18440,1328,32.98128318,-2.06666064,Lake Victoria,Mwanza,other,user-group,never pay,good,surface,communal standpipe,0
18441,0,32.55522496,-3.53222263,Lake Victoria,Shinyanga,manual,unknown,unknown,unknown,groundwater,hand pump,1
18443,0,32.13301078,-2.43115392,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,1
18464,0,33.37711212,-2.81222706,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,1
18466,0,30.48656746,-2.53171222,Lake Victoria,Kagera,other,user-group,never pay,good,groundwater,communal standpipe,0
18472,0,32.24483805,-2.48320487,Lake Victoria,Mwanza,manual,commercial,never pay,good,groundwater,hand pump,0
18474,0,30.91536814,-1.55481024,Lake Victoria,Kagera,other,user-group,never pay,good,groundwater,communal standpipe,1
18476,1185,33.95770513,-1.43181392,Lake Victoria,Mara,mechanical,user-group,never pay,good,surface,communal standpipe,0
18479,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,unknown,good,groundwater,hand pump,1
18490,0,33.52752185,-3.01429319,Lake Victoria,Shinyanga,other,user-group,never pay,good,groundwater,hand pump,0
18495,1364,34.27304268,-2.9882897,Lake Victoria,Shinyanga,manual,user-group,never pay,good,groundwater,hand pump,1
18496,0,33.63414528,-2.79458638,Lake Victoria,Mwanza,manual,user-group,other,good,groundwater,hand pump,1
18504,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,parastatal,never pay,good,groundwater,hand pump,0
18505,0,33.50540462,-3.2884876000000003,Lake Victoria,Shinyanga,manual,user-group,unknown,good,groundwater,hand pump,1
18526,0,30.7341469,-2.4764776,Lake Victoria,Kagera,other,user-group,never pay,good,groundwater,communal standpipe,1
18530,0,33.61755406,-2.87527165,Lake Victoria,Shinyanga,manual,user-group,never pay,good,groundwater,hand pump,1
18534,0,34.09381859,-3.07231262,Lake Victoria,Shinyanga,manual,user-group,other,good,groundwater,hand pump,1
18544,1250,34.31339785,-1.67145801,Lake Victoria,Mara,manual,other,never pay,other,groundwater,hand pump,1
18553,0,33.16188542,-2.82331959,Lake Victoria,Mwanza,manual,user-group,other,good,groundwater,hand pump,1
18568,0,31.75869946,-1.05903785,Lake Victoria,Kagera,other,user-group,never pay,good,groundwater,communal standpipe,0
18570,0,33.34983539,-3.18835768,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,1
18578,0,30.79147161,-1.0395124,Lake Victoria,Kagera,other,other,never pay,good,surface,communal standpipe,1
18590,0,33.23652505,-2.96293312,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,0
18591,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,never pay,good,groundwater,hand pump,1
18602,0,33.37902173,-2.82665142,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,1
18618,0,31.62548744,-1.71455028,Lake Victoria,Kagera,manual,user-group,never pay,good,groundwater,hand pump,1
18620,0,33.55030295,-2.52214447,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,1
18627,1162,33.62289782,-2.13939372,Lake Victoria,Mara,other,user-group,unknown,other,groundwater,hand pump,0
18636,1164,33.51045281,-2.1482166,Lake Victoria,Mara,other,parastatal,unknown,good,surface,communal standpipe,1
18644,0,33.36031756,-3.34590183,Lake Victoria,Shinyanga,other,unknown,unknown,good,surface,communal standpipe,1
18653,0,0.0,-2e-08,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,0
18655,0,31.25046856,-1.56084251,Lake Victoria,Kagera,manual,user-group,never pay,other,groundwater,hand pump,1
18661,0,30.70185682,-1.25986385,Lake Victoria,Kagera,other,user-group,never pay,good,groundwater,communal standpipe,0
18662,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,other,other,groundwater,hand pump,0
18669,0,31.21597751,-1.55741107,Lake Victoria,Kagera,other,user-group,never pay,good,surface,communal standpipe,1
18676,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,never pay,good,groundwater,hand pump,1
18682,1523,33.98820028,-1.72004574,Lake Victoria,Mara,other,user-group,unknown,good,surface,communal standpipe,0
18687,1675,34.50842281,-1.37583054,Lake Victoria,Mara,manual,commercial,other,good,groundwater,hand pump,0
18718,0,0.0,-2e-08,Lake Victoria,Mwanza,manual,user-group,unknown,good,groundwater,hand pump,1
18721,0,31.75531122,-2.63978068,Lake Victoria,Kagera,mechanical,user-group,never pay,good,groundwater,communal standpipe,0
18738,0,33.00899452,-3.20978832,Lake Victoria,Mwanza,mechanical,user-group,other,good,groundwater,communal standpipe,0
18747,0,30.85079557,-2.49414077,Lake Victoria,Kagera,other,user-group,never pay,good,groundwater,communal standpipe,1
18754,1285,34.27854513,-1.69005938,Lake Victoria,Mara,mechanical,user-group,never pay,other,groundwater,communal standpipe,0
18762,0,31.40999975,-1.19145914,Lake Victoria,Kagera,manual,user-group,other,good,groundwater,hand pump,1
18766,1250,34.15733148,-1.70544373,Lake Victoria,Mara,manual,user-group,unknown,good,groundwater,hand pump,0
18767,0,0.0,-2e-08,Lake Victoria,Mwanza,manual,user-group,other,other,groundwater,hand pump,0
18769,1186,32.92395676,-1.9575971999999997,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,1
18780,0,31.80532374,-1.34857192,Lake Victoria,Kagera,other,user-group,never pay,good,surface,communal standpipe,1
18782,1292,34.46358995,-2.0656527,Lake Victoria,Mara,mechanical,other,never pay,good,groundwater,communal standpipe,0
18785,0,31.12567444,-1.70945559,Lake Victoria,Kagera,other,user-group,other,good,groundwater,communal standpipe,1
18800,1192,33.04079737,-2.01400583,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,0
18801,0,30.59220713,-2.5383807999999997,Lake Victoria,Kagera,other,user-group,never pay,good,groundwater,communal standpipe,1
18808,0,0.0,-2e-08,Lake Victoria,Mwanza,other,user-group,never pay,good,surface,communal standpipe,0
18811,0,31.65257469,-1.84860709,Lake Victoria,Kagera,other,user-group,never pay,good,groundwater,communal standpipe,1
18827,0,0.0,-2e-08,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,1
18839,0,30.93892971,-1.403907,Lake Victoria,Kagera,other,user-group,never pay,good,surface,communal standpipe,0
18853,1199,33.03405329,-2.01728143,Lake Victoria,Mwanza,other,user-group,never pay,good,surface,communal standpipe,0
18864,0,31.35314725,-2.61929126,Lake Victoria,Kagera,manual,user-group,other,good,groundwater,hand pump,1
18876,1145,33.45245981,-2.15180819,Lake Victoria,Mara,other,user-group,unknown,good,surface,communal standpipe,0
18883,0,33.46031753,-3.19198006,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,1
18890,0,0.0,-2e-08,Lake Victoria,Mwanza,manual,user-group,unknown,unknown,groundwater,hand pump,0
18892,0,33.00907863,-2.38170818,Lake Victoria,Mwanza,manual,user-group,other,other,groundwater,hand pump,0
18894,1185,34.51172693,-1.52325101,Lake Victoria,Mara,manual,user-group,never pay,other,groundwater,hand pump,0
18908,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,unknown,good,groundwater,hand pump,1
18923,0,0.0,-2e-08,Lake Victoria,Mwanza,mechanical,user-group,unknown,unknown,surface,communal standpipe,0
18928,0,33.90252753,-3.14437407,Lake Victoria,Shinyanga,manual,user-group,other,good,groundwater,hand pump,0
18933,1373,34.01245636,-1.90126175,Lake Victoria,Mara,manual,user-group,unknown,good,groundwater,hand pump,0
18936,0,32.64344362,-2.83149741,Lake Victoria,Mwanza,manual,user-group,never pay,other,groundwater,hand pump,1
18958,1245,33.69426255,-1.87972271,Lake Victoria,Mara,manual,user-group,unknown,other,groundwater,hand pump,0
18960,0,0.0,-2e-08,Lake Victoria,Mwanza,manual,user-group,unknown,unknown,groundwater,hand pump,0
18963,0,32.91940796,-2.71176285,Lake Victoria,Mwanza,mechanical,parastatal,other,good,surface,communal standpipe,0
18965,0,33.57577154,-2.68910244,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,1
18968,1319,34.41477075,-2.01098304,Lake Victoria,Mara,manual,user-group,other,other,groundwater,hand pump,0
18969,0,0.0,-2e-08,Lake Victoria,Mwanza,manual,user-group,unknown,good,groundwater,hand pump,0
18973,0,31.11820605,-1.66840111,Lake Victoria,Kagera,manual,user-group,never pay,other,groundwater,hand pump,1
18974,1196,33.68327156,-1.74786839,Lake Victoria,Mara,manual,user-group,unknown,good,groundwater,hand pump,0
18986,1581,34.67598246,-1.82397613,Lake Victoria,Mara,manual,other,never pay,other,groundwater,hand pump,1
18988,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,other,other,groundwater,hand pump,0
19012,0,0.0,-2e-08,Lake Victoria,Mwanza,mechanical,user-group,unknown,unknown,groundwater,communal standpipe,0
19014,1425,34.39439665,-1.31799729,Lake Victoria,Mara,manual,unknown,unknown,unknown,groundwater,hand pump,1
19015,0,30.84028329,-1.53837181,Lake Victoria,Kagera,other,user-group,never pay,good,groundwater,communal standpipe,1
19029,0,30.82049783,-2.51415306,Lake Victoria,Kagera,other,user-group,never pay,good,groundwater,communal standpipe,1
19033,0,0.0,-2e-08,Lake Victoria,Mwanza,manual,user-group,other,good,groundwater,hand pump,1
19042,0,0.0,-2e-08,Lake Victoria,Mwanza,mechanical,user-group,never pay,good,groundwater,communal standpipe,0
19066,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,other,good,groundwater,hand pump,0
19070,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,other,good,groundwater,hand pump,1
19075,0,33.39039275,-3.1570002,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,1
19080,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,never pay,good,groundwater,hand pump,1
19085,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,other,good,groundwater,hand pump,0
19087,0,30.78991861,-1.41735331,Lake Victoria,Kagera,other,user-group,never pay,good,groundwater,communal standpipe,0
19109,0,32.89397718,-3.32080491,Lake Victoria,Shinyanga,manual,user-group,never pay,good,groundwater,hand pump,1
19112,0,33.59895002,-3.22208478,Lake Victoria,Shinyanga,other,user-group,other,good,groundwater,communal standpipe,0
19115,1487,33.96262115,-1.76475443,Lake Victoria,Mara,other,parastatal,other,good,surface,communal standpipe,1
19118,1316,34.28027432,-1.32768366,Lake Victoria,Mara,manual,commercial,unknown,other,groundwater,hand pump,1
19121,0,30.56022826,-2.74345022,Lake Victoria,Kagera,other,user-group,never pay,good,groundwater,hand pump,0
19124,0,0.0,-2e-08,Lake Victoria,Mwanza,manual,user-group,unknown,unknown,groundwater,hand pump,0
19127,0,33.67025585,-2.96721538,Lake Victoria,Shinyanga,manual,user-group,other,good,groundwater,hand pump,1
19161,0,31.18327419,-1.48814136,Lake Victoria,Kagera,other,user-group,never pay,good,groundwater,communal standpipe,0
19165,0,31.45963189,-1.56570273,Lake Victoria,Kagera,manual,user-group,never pay,good,groundwater,hand pump,0
19173,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,never pay,good,groundwater,hand pump,1
19184,0,33.69950297,-2.74283926,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,0
19208,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,other,good,groundwater,hand pump,1
19216,0,31.81386528,-1.27132389,Lake Victoria,Kagera,other,user-group,never pay,good,surface,communal standpipe,1
19225,1189,33.98811841,-2.04761776,Lake Victoria,Mara,other,user-group,unknown,unknown,groundwater,communal standpipe,0
19229,0,0.0,-2e-08,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,1
19232,0,33.01659236,-2.92524888,Lake Victoria,Mwanza,mechanical,user-group,never pay,good,surface,communal standpipe,0
19244,1302,34.01927412,-3.01534584,Lake Victoria,Shinyanga,manual,user-group,never pay,other,groundwater,hand pump,0
19253,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,never pay,good,groundwater,hand pump,1
19263,1168,33.88189423,-1.39504013,Lake Victoria,Mara,mechanical,user-group,unknown,good,surface,communal standpipe,0
19266,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,other,other,groundwater,hand pump,0
19270,1170,33.91099053,-1.48725764,Lake Victoria,Mara,mechanical,user-group,never pay,good,surface,communal standpipe,0
19288,1499,34.60735812,-1.81065429,Lake Victoria,Mara,manual,user-group,never pay,other,groundwater,hand pump,0
19292,0,33.39291941,-2.60964634,Lake Victoria,Mwanza,mechanical,user-group,other,good,groundwater,communal standpipe,0
19295,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,unknown,good,groundwater,hand pump,0
19299,0,0.0,-2e-08,Lake Victoria,Mwanza,other,user-group,never pay,good,surface,communal standpipe,0
19300,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,never pay,good,groundwater,hand pump,1
19306,0,30.65032463,-1.2543133999999998,Lake Victoria,Kagera,manual,user-group,never pay,good,groundwater,hand pump,0
19308,0,30.94114335,-1.02843334,Lake Victoria,Kagera,mechanical,user-group,never pay,good,groundwater,communal standpipe,0
19317,0,31.44793772,-2.63753437,Lake Victoria,Kagera,other,user-group,never pay,good,groundwater,communal standpipe,0
19319,0,0.0,-2e-08,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,0
19322,0,32.97408778,-2.41534725,Lake Victoria,Mwanza,manual,user-group,never pay,other,groundwater,hand pump,0
19327,1150,33.45176324,-2.15104529,Lake Victoria,Mara,other,user-group,other,good,surface,communal standpipe,1
19331,0,0.0,-2e-08,Lake Victoria,Mwanza,manual,user-group,other,good,groundwater,hand pump,1
19334,0,0.0,-2e-08,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,0
19337,0,33.48477289,-3.03844637,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,0
19342,0,34.37069238,-2.98488266,Lake Victoria,Shinyanga,other,parastatal,never pay,good,surface,communal standpipe,1
19347,0,33.12344034,-2.49362987,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,1
19354,1150,32.84942813,-1.93966989,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,1
19361,0,31.20654878,-1.39656954,Lake Victoria,Kagera,other,user-group,never pay,good,surface,communal standpipe,0
19366,1251,34.14511969,-1.36771989,Lake Victoria,Mara,mechanical,user-group,never pay,other,groundwater,communal standpipe,1
19369,0,33.56024021,-2.52760477,Lake Victoria,Mwanza,mechanical,user-group,never pay,good,groundwater,communal standpipe,0
19370,0,33.66978085,-3.05911045,Lake Victoria,Shinyanga,manual,user-group,other,good,groundwater,hand pump,1
19385,1430,34.054520700000005,-1.92307381,Lake Victoria,Mara,manual,user-group,other,good,groundwater,hand pump,1
19387,0,31.55921557,-1.42395046,Lake Victoria,Kagera,manual,user-group,never pay,good,groundwater,hand pump,1
19388,0,0.0,-2e-08,Lake Victoria,Mwanza,manual,user-group,unknown,unknown,groundwater,hand pump,0
19404,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,unknown,good,groundwater,hand pump,1
19405,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,unknown,good,groundwater,hand pump,1
19420,0,33.49367731,-2.54471584,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,0
19427,1166,33.14098091,-2.15601786,Lake Victoria,Mwanza,manual,user-group,never pay,other,groundwater,hand pump,0
19428,1825,34.62768058,-1.35773664,Lake Victoria,Mara,manual,user-group,unknown,good,groundwater,hand pump,1
19439,1403,34.68605048,-2.14681927,Lake Victoria,Mara,mechanical,commercial,never pay,other,groundwater,communal standpipe,1
19442,0,31.76582625,-1.0015208,Lake Victoria,Kagera,other,user-group,other,good,groundwater,communal standpipe,0
19444,0,0.0,-2e-08,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,1
19454,0,31.83324679,-1.28996223,Lake Victoria,Kagera,other,user-group,never pay,unknown,surface,communal standpipe,0
19459,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,never pay,good,groundwater,hand pump,0
19464,0,33.57865826,-2.84432961,Lake Victoria,Shinyanga,manual,user-group,never pay,good,groundwater,hand pump,1
19468,0,31.55790195,-1.89975213,Lake Victoria,Kagera,manual,user-group,never pay,good,groundwater,hand pump,0
19469,0,32.97629573,-2.54445892,Lake Victoria,Mwanza,mechanical,user-group,other,good,surface,communal standpipe,1
19485,0,33.05127132,-2.38506833,Lake Victoria,Mwanza,manual,user-group,other,good,groundwater,hand pump,1
19491,1432,34.56343919,-1.73442957,Lake Victoria,Mara,manual,user-group,unknown,other,groundwater,hand pump,1
19496,0,32.87898964,-3.39949234,Lake Victoria,Shinyanga,manual,user-group,never pay,good,groundwater,hand pump,0
19498,0,31.5199919,-1.60032874,Lake Victoria,Kagera,other,user-group,never pay,good,groundwater,communal standpipe,1
19507,1403,34.31781667,-1.85149065,Lake Victoria,Mara,manual,user-group,other,good,groundwater,hand pump,1
19512,0,30.69532143,-1.26439417,Lake Victoria,Kagera,other,user-group,never pay,good,groundwater,communal standpipe,1
19513,0,33.60141882,-3.03087087,Lake Victoria,Shinyanga,manual,user-group,never pay,good,groundwater,hand pump,1
19523,1607,34.57313573,-1.39398299,Lake Victoria,Mara,other,user-group,unknown,good,groundwater,communal standpipe,0
19550,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,never pay,good,groundwater,hand pump,0
19554,1196,33.03359522,-2.01741829,Lake Victoria,Mwanza,other,user-group,never pay,good,surface,communal standpipe,0
19560,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,unknown,good,groundwater,hand pump,1
19565,1205,32.90255504,-2.00079371,Lake Victoria,Mwanza,other,user-group,never pay,good,surface,communal standpipe,0
19571,0,32.83648,-3.32190932,Lake Victoria,Shinyanga,other,parastatal,never pay,good,surface,communal standpipe,0
19579,0,30.85870133,-1.4540136,Lake Victoria,Kagera,other,other,never pay,good,surface,hand pump,1
19582,0,31.74161332,-1.49511508,Lake Victoria,Kagera,other,user-group,never pay,good,surface,communal standpipe,1
19587,1508,34.65879056,-1.94944449,Lake Victoria,Mara,other,user-group,never pay,good,surface,communal standpipe,0
19590,0,33.72415591,-3.04454336,Lake Victoria,Shinyanga,manual,user-group,other,good,groundwater,hand pump,1
19608,0,33.68001092,-2.97733552,Lake Victoria,Shinyanga,other,user-group,other,good,groundwater,hand pump,1
19617,0,0.0,-2e-08,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,0
19629,0,31.73940074,-1.47422213,Lake Victoria,Kagera,other,user-group,never pay,good,groundwater,communal standpipe,0
19631,0,32.90418602,-3.30764911,Lake Victoria,Shinyanga,manual,user-group,never pay,good,groundwater,hand pump,0
19636,0,33.1595112,-3.75018161,Lake Victoria,Shinyanga,manual,user-group,never pay,good,groundwater,hand pump,1
19650,1183,33.39307451,-2.06980928,Lake Victoria,Mara,other,user-group,other,good,groundwater,communal standpipe,0
19654,0,33.10520254,-2.49443626,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,1
19660,0,30.99513963,-1.80967074,Lake Victoria,Kagera,manual,user-group,never pay,good,groundwater,hand pump,0
19670,0,0.0,-2e-08,Lake Victoria,Mwanza,mechanical,user-group,unknown,unknown,surface,communal standpipe,0
19672,0,33.21476253,-2.52928744,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,1
19688,0,30.95732908,-1.65431112,Lake Victoria,Kagera,other,user-group,never pay,good,groundwater,communal standpipe,1
19690,0,32.8764158,-3.27829652,Lake Victoria,Shinyanga,manual,user-group,never pay,other,groundwater,hand pump,0
19694,0,32.69796011,-2.59332066,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,1
19698,0,31.70003254,-2.7531279,Lake Victoria,Kagera,manual,user-group,never pay,good,groundwater,hand pump,1
19700,0,33.52026983,-2.97986639,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,0
19718,0,31.44150044,-1.20331619,Lake Victoria,Kagera,manual,user-group,never pay,good,groundwater,hand pump,1
19721,1290,34.39312656,-1.6033741,Lake Victoria,Mara,other,user-group,other,good,groundwater,communal standpipe,1
19725,1213,34.27162183,-1.67049986,Lake Victoria,Mara,manual,unknown,never pay,good,groundwater,hand pump,1
19733,0,0.0,-2e-08,Lake Victoria,Mwanza,mechanical,user-group,other,good,groundwater,communal standpipe,1
19752,1201,34.50867662,-1.52395319,Lake Victoria,Mara,manual,commercial,unknown,good,surface,hand pump,1
19758,0,31.17294502,-1.43665962,Lake Victoria,Kagera,other,user-group,never pay,good,surface,communal standpipe,0
