,gps_height,longitude,latitude,region,lga,population,permit,extraction_type_class,management_group,payment,quality_group,quantity,source_class,waterpoint_type_group,target
16439,0,0.0,-2e-08,Shinyanga,Bariadi,0,False,handpump,user-group,never pay,good,enough,groundwater,hand pump,non functional
16445,0,33.5213909,-2.69663864,Mwanza,Magu,0,True,handpump,user-group,never pay,salty,enough,groundwater,hand pump,functional
16451,1531,34.66738786,-1.88936144,Mara,Serengeti,200,True,handpump,user-group,unknown,salty,insufficient,groundwater,hand pump,non functional
16458,0,32.35686233,-2.49886914,Mwanza,Sengerema,0,True,motorpump,user-group,never pay,good,enough,surface,communal standpipe,non functional
16470,0,33.10707261,-2.44467198,Mwanza,Magu,0,True,handpump,user-group,never pay,good,enough,groundwater,hand pump,non functional
16474,0,33.66183274,-2.70938822,Mwanza,Magu,0,True,handpump,user-group,never pay,good,insufficient,groundwater,hand pump,non functional
16481,0,0.0,-2e-08,Shinyanga,Bariadi,0,False,handpump,user-group,never pay,salty,enough,groundwater,hand pump,non functional
16502,0,34.36801242,-2.97363288,Shinyanga,Meatu,0,False,handpump,user-group,never pay,good,enough,groundwater,hand pump,functional
16516,0,0.0,-2e-08,Shinyanga,Bariadi,0,False,handpump,user-group,never pay,good,enough,groundwater,hand pump,non functional
16519,0,30.79505453,-2.46594884,Kagera,Ngara,0,False,gravity,commercial,never pay,good,insufficient,groundwater,communal standpipe,non functional
<<<<<<< HEAD
16520,0,31.628884000000006,-1.84491459,Kagera,Muleba,0,True,gravity,user-group,pay when scheme fails,good,enough,groundwater,communal standpipe,functional
=======
16520,0,31.628884000000003,-1.84491459,Kagera,Muleba,0,True,gravity,user-group,pay when scheme fails,good,enough,groundwater,communal standpipe,functional
>>>>>>> 545838695a17209333057dc8c8805e1e5d12ee6f
16521,0,33.50911169,-2.64850532,Mwanza,Magu,0,True,handpump,user-group,never pay,salty,enough,groundwater,hand pump,functional
16546,0,0.0,-2e-08,Mwanza,Geita,0,True,other,user-group,never pay,good,insufficient,surface,communal standpipe,functional
16548,0,31.3908192,-1.00834558,Kagera,Misenyi,0,True,handpump,user-group,never pay,good,insufficient,groundwater,hand pump,non functional
16550,1334,34.16979663,-2.97208324,Shinyanga,Bariadi,500,False,handpump,user-group,never pay,good,enough,groundwater,hand pump,functional
16559,0,32.74626012,-2.83415276,Mwanza,Sengerema,0,True,handpump,user-group,unknown,salty,dry,groundwater,hand pump,non functional
16560,0,31.55367357,-1.50411338,Kagera,Bukoba Rural,0,True,gravity,user-group,pay monthly,good,enough,surface,communal standpipe,functional
16576,0,31.80614649,-3.01847766,Kagera,Chato,0,True,handpump,user-group,never pay,good,enough,groundwater,hand pump,non functional
16580,1205,34.01019093,-2.03688758,Mara,Bunda,250,True,gravity,user-group,unknown,unknown,unknown,groundwater,communal standpipe,non functional
16584,0,0.0,-2e-08,Shinyanga,Bariadi,0,False,handpump,user-group,never pay,salty,enough,groundwater,hand pump,functional
16587,0,0.0,-2e-08,Mwanza,Geita,0,True,submersible,user-group,never pay,good,insufficient,surface,communal standpipe,functional
16588,0,32.51255498,-2.75361481,Mwanza,Sengerema,0,True,handpump,user-group,never pay,salty,insufficient,groundwater,hand pump,non functional
16594,0,31.38599239,-1.10253257,Kagera,Misenyi,0,True,gravity,other,pay when scheme fails,good,insufficient,surface,communal standpipe,non functional
16596,0,0.0,-2e-08,Mwanza,Magu,0,True,motorpump,user-group,never pay,good,enough,groundwater,communal standpipe,functional
16601,1179,33.09225723,-1.97704636,Mwanza,Ukerewe,350,True,handpump,user-group,never pay,good,insufficient,groundwater,hand pump,functional
16610,0,30.56378617,-2.58016415,Kagera,Ngara,0,False,handpump,user-group,never pay,good,dry,groundwater,communal standpipe,non functional
16633,0,33.54843013,-2.75381234,Mwanza,Kwimba,0,True,handpump,user-group,never pay,good,seasonal,groundwater,hand pump,functional
16635,0,33.40674238,-2.85145042,Mwanza,Kwimba,0,True,handpump,user-group,never pay,good,enough,groundwater,hand pump,functional
16637,0,33.25810307,-2.56027741,Mwanza,Magu,0,True,handpump,user-group,pay when scheme fails,salty,dry,groundwater,hand pump,non functional
16640,1149,33.02081386,-1.87079732,Mwanza,Ukerewe,350,True,handpump,user-group,never pay,good,insufficient,groundwater,hand pump,functional
16642,0,0.0,-2e-08,Mwanza,Magu,0,True,gravity,user-group,never pay,good,insufficient,surface,communal standpipe,non functional
16648,0,31.78454828,-1.31544689,Kagera,Bukoba Urban,0,False,gravity,user-group,never pay,good,insufficient,surface,communal standpipe,non functional
16651,0,0.0,-2e-08,Shinyanga,Bariadi,0,False,handpump,user-group,other,good,enough,groundwater,hand pump,functional
16654,0,0.0,-2e-08,Mwanza,Magu,0,True,handpump,user-group,never pay,unknown,dry,groundwater,hand pump,non functional
16656,1145,33.46634659,-2.1518865000000003,Mara,Bunda,350,False,other,parastatal,unknown,good,seasonal,surface,communal standpipe,functional
16662,0,32.71198659,-2.51875684,Mwanza,Sengerema,0,True,handpump,user-group,never pay,salty,seasonal,groundwater,hand pump,non functional
16667,0,0.0,-2e-08,Shinyanga,Bariadi,0,False,handpump,user-group,never pay,good,enough,groundwater,hand pump,non functional
16673,0,33.34295236,-2.95703066,Mwanza,Kwimba,0,True,handpump,user-group,never pay,good,enough,groundwater,hand pump,functional
16676,1226,32.96700926,-2.50658954,Mwanza,Ilemela,400,True,handpump,user-group,pay when scheme fails,good,insufficient,groundwater,hand pump,functional
16679,0,32.43413787,-2.39822819,Mwanza,Sengerema,0,False,handpump,user-group,never pay,good,dry,groundwater,hand pump,functional
16685,0,30.84853203,-2.4949696,Kagera,Ngara,0,False,rope pump,user-group,never pay,good,dry,groundwater,communal standpipe,non functional
16701,0,31.69128096,-2.60645532,Kagera,Chato,0,True,handpump,user-group,pay monthly,good,enough,groundwater,hand pump,functional
16703,0,0.0,-2e-08,Mwanza,Geita,0,True,submersible,user-group,never pay,good,insufficient,surface,communal standpipe,functional
16712,0,30.56469498,-2.4908650000000003,Kagera,Ngara,0,False,gravity,user-group,never pay,good,enough,groundwater,communal standpipe,non functional
16714,0,33.33641479,-2.72895004,Mwanza,Kwimba,0,True,handpump,user-group,never pay,good,enough,groundwater,hand pump,functional
16729,0,30.60692018,-2.72853324,Kagera,Ngara,0,False,handpump,user-group,never pay,good,seasonal,groundwater,hand pump,functional
16736,0,31.34724104,-2.59279457,Kagera,Biharamulo,0,True,handpump,user-group,never pay,fluoride,enough,groundwater,hand pump,functional
16738,0,0.0,-2e-08,Shinyanga,Bariadi,0,False,handpump,user-group,unknown,good,enough,groundwater,hand pump,functional
16762,0,32.65770027,-2.91750782,Mwanza,Sengerema,0,True,handpump,user-group,unknown,salty,enough,groundwater,hand pump,non functional
16766,0,31.80394443,-1.31624182,Kagera,Bukoba Urban,0,False,gravity,user-group,never pay,good,insufficient,surface,communal standpipe,non functional
16799,1179,33.38995931,-1.82135108,Mara,Musoma Rural,250,True,handpump,user-group,pay monthly,good,enough,groundwater,hand pump,non functional
16815,0,0.0,-2e-08,Mwanza,Geita,0,True,handpump,user-group,pay per bucket,good,insufficient,groundwater,hand pump,functional
16817,0,31.40219668,-1.08725816,Kagera,Misenyi,0,True,handpump,user-group,never pay,good,insufficient,groundwater,hand pump,non functional
16823,0,0.0,-2e-08,Shinyanga,Bariadi,0,False,handpump,user-group,never pay,good,enough,groundwater,hand pump,functional
16826,0,33.23458135,-2.80660287,Mwanza,Kwimba,0,True,handpump,user-group,never pay,good,enough,groundwater,hand pump,non functional
16841,0,33.42992485,-2.62952074,Mwanza,Magu,0,True,motorpump,user-group,never pay,good,enough,groundwater,communal standpipe,non functional
16844,0,31.80081983,-1.35330837,Kagera,Bukoba Urban,0,False,gravity,user-group,never pay,unknown,dry,surface,communal standpipe,non functional
16862,0,0.0,-2e-08,Shinyanga,Bariadi,0,False,handpump,user-group,unknown,good,enough,groundwater,hand pump,functional
16863,1431,33.92864705,-1.76918941,Mara,Musoma Rural,300,True,gravity,parastatal,unknown,good,enough,surface,communal standpipe,functional
16888,0,33.66653611,-2.69141881,Mwanza,Magu,0,True,handpump,user-group,never pay,good,insufficient,groundwater,hand pump,non functional
16894,1314,34.29008675,-1.69740739,Mara,Serengeti,100,True,gravity,other,unknown,good,seasonal,surface,hand pump,non functional
16915,0,0.0,-2e-08,Mwanza,Magu,0,True,gravity,user-group,never pay,good,insufficient,surface,communal standpipe,non functional
16920,0,34.14713095,-2.99939957,Shinyanga,Meatu,0,True,handpump,user-group,never pay,good,enough,groundwater,hand pump,functional
16928,0,0.0,-2e-08,Shinyanga,Bariadi,0,False,handpump,user-group,other,good,enough,groundwater,hand pump,non functional
16944,0,30.71637489,-1.30394974,Kagera,Karagwe,0,True,gravity,user-group,never pay,good,dry,groundwater,communal standpipe,non functional
16956,1618,34.66561997,-1.82936525,Mara,Serengeti,50,True,handpump,other,never pay,good,insufficient,groundwater,hand pump,non functional
16962,0,0.0,-2e-08,Mwanza,Geita,0,True,submersible,user-group,never pay,good,insufficient,surface,communal standpipe,functional
16966,0,31.41369356,-1.21937207,Kagera,Misenyi,0,True,handpump,user-group,pay monthly,colored,insufficient,groundwater,hand pump,functional
16970,0,33.65953131,-2.68455223,Mwanza,Magu,0,True,handpump,unknown,never pay,good,insufficient,groundwater,hand pump,non functional
16984,0,34.42299421,-2.91083753,Shinyanga,Bariadi,0,False,handpump,user-group,never pay,good,enough,groundwater,hand pump,functional
16993,0,0.0,-2e-08,Shinyanga,Bariadi,0,False,handpump,user-group,other,good,enough,groundwater,hand pump,non functional
16997,1317,34.27174284,-1.71787139,Mara,Serengeti,30,True,rope pump,other,unknown,good,enough,groundwater,hand pump,functional
16999,0,30.53855753,-2.45899599,Kagera,Ngara,0,False,handpump,user-group,never pay,good,enough,groundwater,hand pump,functional
17010,0,0.0,-2e-08,Shinyanga,Bariadi,0,False,handpump,user-group,never pay,good,enough,groundwater,hand pump,non functional
17011,0,33.41048828,-2.80158654,Mwanza,Kwimba,0,True,handpump,user-group,never pay,good,insufficient,groundwater,hand pump,functional
17015,0,33.49345061,-3.02135109,Mwanza,Kwimba,0,True,handpump,user-group,never pay,good,enough,groundwater,hand pump,functional
17024,0,30.5165222,-2.60499673,Kagera,Ngara,0,False,handpump,user-group,never pay,good,enough,groundwater,communal standpipe,non functional
17030,0,31.81209368,-1.15751559,Kagera,Bukoba Rural,0,True,gravity,user-group,never pay,good,insufficient,surface,communal standpipe,non functional
17031,0,33.54927081,-3.21642624,Shinyanga,Maswa,0,False,handpump,user-group,never pay,good,seasonal,groundwater,hand pump,functional
17038,0,33.16360996,-2.53052803,Mwanza,Magu,0,True,handpump,user-group,never pay,salty,enough,groundwater,hand pump,functional
17039,1610,34.67670218,-1.84465692,Mara,Serengeti,600,True,submersible,commercial,never pay,good,insufficient,groundwater,communal standpipe,functional
17048,0,0.0,-2e-08,Mwanza,Geita,0,True,submersible,user-group,never pay,good,insufficient,groundwater,hand pump,functional
17054,0,34.18457302,-3.04071945,Shinyanga,Meatu,0,True,handpump,user-group,never pay,good,enough,groundwater,hand pump,functional
17056,0,34.06916477,-3.14021607,Shinyanga,Maswa,0,False,handpump,user-group,other,good,insufficient,groundwater,hand pump,functional
17058,0,30.54843441,-2.51234055,Kagera,Ngara,0,False,gravity,user-group,never pay,good,dry,groundwater,communal standpipe,non functional
17067,0,33.04030007,-2.64533565,Mwanza,Missungwi,0,True,handpump,user-group,never pay,salty,enough,groundwater,hand pump,functional
17076,0,31.43758661,-1.47624458,Kagera,Bukoba Rural,0,True,handpump,user-group,never pay,good,insufficient,groundwater,hand pump,functional
17081,0,30.70259452,-1.27610871,Kagera,Karagwe,0,True,gravity,user-group,never pay,good,dry,groundwater,communal standpipe,non functional
17089,0,31.78008283,-1.44353831,Kagera,Bukoba Rural,0,True,gravity,user-group,never pay,good,insufficient,groundwater,communal standpipe,functional
17099,1190,32.9051156,-1.95054294,Mwanza,Ukerewe,250,True,handpump,user-group,never pay,unknown,unknown,groundwater,hand pump,functional
17108,0,33.59261474,-2.84847875,Shinyanga,Maswa,0,False,handpump,user-group,never pay,good,enough,groundwater,hand pump,functional
17109,0,31.70687956,-2.47345058,Kagera,Chato,0,True,handpump,user-group,pay monthly,good,enough,groundwater,hand pump,non functional
17113,0,33.557005600000004,-2.85569909,Shinyanga,Maswa,0,False,handpump,user-group,other,good,enough,groundwater,hand pump,functional
17121,0,31.41123725,-1.20547089,Kagera,Misenyi,0,True,handpump,user-group,never pay,good,insufficient,groundwater,hand pump,non functional
17138,0,0.0,-2e-08,Mwanza,Geita,0,True,gravity,user-group,unknown,unknown,dry,surface,communal standpipe,non functional
17154,0,31.17346981,-1.71048836,Kagera,Karagwe,0,True,gravity,user-group,never pay,good,enough,groundwater,communal standpipe,functional
17157,0,31.58706331,-1.17498918,Kagera,Misenyi,0,True,handpump,user-group,never pay,good,insufficient,groundwater,hand pump,functional
17179,0,33.79091235,-3.10437963,Shinyanga,Maswa,0,False,gravity,commercial,pay monthly,good,enough,surface,communal standpipe,functional
17187,1192,33.71422652,-1.74544111,Mara,Musoma Rural,350,True,handpump,user-group,pay monthly,salty,enough,groundwater,hand pump,functional
17189,0,31.59381549,-1.79601438,Kagera,Muleba,0,True,submersible,user-group,never pay,good,enough,groundwater,communal standpipe,non functional
17193,0,30.68660829,-1.27196929,Kagera,Karagwe,0,True,gravity,other,never pay,good,enough,surface,communal standpipe,functional
17199,0,32.94430764,-2.43155327,Mwanza,Magu,0,True,handpump,user-group,never pay,good,insufficient,groundwater,hand pump,non functional
17207,1181,33.38425592,-2.07445411,Mara,Bunda,250,True,gravity,user-group,never pay,good,dry,groundwater,communal standpipe,non functional
17210,0,0.0,-2e-08,Shinyanga,Bariadi,0,False,gravity,parastatal,never pay,good,seasonal,surface,communal standpipe,non functional
17212,1352,34.14381894,-2.88185906,Shinyanga,Bariadi,500,False,handpump,user-group,other,salty,insufficient,groundwater,hand pump,functional
17215,0,33.79520365,-3.18558162,Shinyanga,Maswa,0,False,handpump,user-group,other,good,dry,groundwater,hand pump,non functional
17222,0,31.2979637,-2.59018272,Kagera,Biharamulo,0,True,gravity,user-group,never pay,good,enough,groundwater,communal standpipe,functional
17224,0,31.44707807,-1.51452724,Kagera,Bukoba Rural,0,True,gravity,user-group,never pay,good,seasonal,surface,communal standpipe,functional
17236,1161,33.97751077,-1.22101277,Mara,Rorya,456,True,handpump,user-group,pay monthly,good,enough,groundwater,hand pump,functional
17246,0,33.04284441,-2.55355111,Mwanza,Magu,0,True,handpump,user-group,pay monthly,good,enough,groundwater,hand pump,functional
17248,1302,34.07649622,-1.18311334,Mara,Rorya,300,False,submersible,user-group,pay per bucket,good,enough,surface,communal standpipe,non functional
17260,0,0.0,-2e-08,Shinyanga,Bariadi,0,False,handpump,user-group,unknown,good,enough,groundwater,hand pump,functional
17267,0,0.0,-2e-08,Mwanza,Magu,0,True,handpump,user-group,never pay,good,enough,groundwater,hand pump,functional
17276,0,30.69959699,-1.05111487,Kagera,Karagwe,0,True,handpump,other,never pay,good,enough,groundwater,hand pump,functional
17288,0,33.77525307,-3.18098115,Shinyanga,Maswa,0,False,gravity,commercial,pay per bucket,good,enough,surface,communal standpipe,non functional
17289,0,31.63497344,-1.1652461,Kagera,Ngara,0,False,gravity,parastatal,pay monthly,good,enough,groundwater,communal standpipe,functional
17293,0,0.0,-2e-08,Shinyanga,Bariadi,0,False,handpump,parastatal,unknown,good,enough,groundwater,hand pump,functional
17298,0,31.43762346,-1.83725129,Kagera,Muleba,0,True,gravity,user-group,never pay,good,enough,groundwater,communal standpipe,functional
17301,1323,34.26960815,-1.72312879,Mara,Serengeti,80,True,rope pump,other,never pay,good,enough,groundwater,hand pump,functional
17303,0,0.0,-2e-08,Shinyanga,Bariadi,0,False,handpump,user-group,never pay,salty,enough,groundwater,hand pump,functional
17308,1271,34.29507439,-1.68544405,Mara,Serengeti,30,True,rope pump,other,never pay,good,enough,groundwater,hand pump,functional
17324,0,33.6156376,-2.72611331,Mwanza,Kwimba,0,True,submersible,user-group,never pay,good,insufficient,groundwater,communal standpipe,non functional
17325,0,31.15231809,-1.39527328,Kagera,Karagwe,0,True,gravity,other,pay annually,good,dry,surface,communal standpipe,non functional
17329,0,32.91880058,-2.59366477,Mwanza,Ilemela,0,True,handpump,user-group,never pay,good,enough,groundwater,hand pump,functional
17344,0,0.0,-2e-08,Shinyanga,Bariadi,0,False,motorpump,unknown,unknown,unknown,unknown,groundwater,communal standpipe,functional
17353,0,0.0,-2e-08,Shinyanga,Bariadi,0,False,handpump,user-group,unknown,good,enough,groundwater,hand pump,functional
17356,0,0.0,-2e-08,Shinyanga,Bariadi,0,False,handpump,user-group,never pay,good,dry,groundwater,hand pump,non functional
17375,0,31.15835822,-1.39269385,Kagera,Karagwe,0,True,gravity,other,pay annually,good,enough,surface,communal standpipe,functional
17387,0,33.35747697,-2.73146339,Mwanza,Kwimba,0,True,handpump,user-group,never pay,good,dry,groundwater,hand pump,non functional
17390,0,32.97827726,-2.95442162,Mwanza,Missungwi,0,True,handpump,user-group,pay when scheme fails,good,enough,groundwater,hand pump,functional
17417,1346,34.1207627,-2.91276712,Shinyanga,Bariadi,500,False,handpump,user-group,never pay,good,enough,groundwater,hand pump,non functional
17419,0,0.0,-2e-08,Shinyanga,Bariadi,0,False,handpump,user-group,pay when scheme fails,good,insufficient,groundwater,hand pump,non functional
17431,0,30.77582677,-1.36761331,Kagera,Karagwe,0,True,handpump,user-group,never pay,good,enough,groundwater,hand pump,functional
17439,1367,33.91307509,-2.00745359,Mara,Bunda,330,False,handpump,user-group,pay monthly,salty,insufficient,groundwater,hand pump,non functional
17440,0,0.0,-2e-08,Mwanza,Geita,0,True,submersible,user-group,never pay,good,insufficient,surface,communal standpipe,functional
17443,0,32.12240235,-2.43201671,Mwanza,Sengerema,0,True,handpump,user-group,never pay,good,enough,groundwater,hand pump,functional
17458,1349,33.93654716,-1.83766403,Mara,Musoma Rural,250,False,handpump,user-group,pay monthly,good,enough,groundwater,hand pump,functional
17459,0,33.49550953,-3.02133461,Shinyanga,Maswa,0,False,handpump,user-group,never pay,good,enough,groundwater,hand pump,non functional
17488,0,31.37867177,-1.10546302,Kagera,Misenyi,0,True,handpump,user-group,never pay,good,insufficient,groundwater,hand pump,non functional
17497,1198,33.97505876,-1.42538283,Mara,Rorya,140,False,submersible,user-group,never pay,good,enough,surface,communal standpipe,non functional
17508,0,0.0,-2e-08,Shinyanga,Bariadi,0,False,handpump,user-group,unknown,good,enough,groundwater,hand pump,non functional
17515,0,33.0151935,-2.92359792,Mwanza,Missungwi,0,True,submersible,user-group,never pay,good,enough,surface,communal standpipe,non functional
17517,0,0.0,-2e-08,Shinyanga,Bariadi,0,False,handpump,user-group,never pay,salty,enough,groundwater,hand pump,functional
17519,0,33.26448279,-2.55436239,Mwanza,Magu,0,True,handpump,user-group,pay monthly,salty,dry,groundwater,hand pump,non functional
17525,0,33.48090242,-2.50345629,Mwanza,Magu,0,True,handpump,user-group,never pay,salty,insufficient,groundwater,hand pump,functional
17529,0,0.0,-2e-08,Shinyanga,Bariadi,0,False,handpump,user-group,unknown,good,enough,groundwater,hand pump,functional
17530,0,33.44006382,-2.68502355,Mwanza,Kwimba,0,True,handpump,user-group,never pay,good,enough,groundwater,hand pump,functional
17539,0,33.3204894,-3.09499497,Mwanza,Kwimba,0,True,handpump,user-group,never pay,good,enough,groundwater,hand pump,functional
17542,0,31.75464737,-1.02891242,Kagera,Misenyi,0,True,gravity,user-group,never pay,good,insufficient,groundwater,communal standpipe,non functional
17544,1200,33.08665436,-2.07658854,Mwanza,Ukerewe,956,True,other,unknown,never pay,good,insufficient,surface,communal standpipe,non functional
17550,0,30.78944004,-1.30113382,Kagera,Karagwe,0,True,handpump,user-group,never pay,good,enough,groundwater,hand pump,non functional
17555,1139,33.50909775,-2.15957961,Mara,Bunda,250,True,gravity,user-group,pay per bucket,good,enough,surface,communal standpipe,non functional
17556,0,33.01271079,-2.39646278,Mwanza,Magu,0,True,handpump,user-group,pay when scheme fails,salty,enough,groundwater,hand pump,functional
17559,0,0.0,-2e-08,Shinyanga,Bariadi,0,False,handpump,user-group,pay annually,good,enough,groundwater,hand pump,functional
17573,0,30.87215384,-1.26420955,Kagera,Karagwe,0,True,handpump,user-group,never pay,good,enough,groundwater,hand pump,non functional
17576,0,33.05596402,-2.96334902,Mwanza,Missungwi,0,True,handpump,user-group,pay annually,good,enough,groundwater,hand pump,functional
17577,0,33.21414373,-2.70760099,Mwanza,Kwimba,0,True,motorpump,user-group,never pay,good,enough,groundwater,communal standpipe,functional
17586,0,32.586937199999994,-3.47696979,Shinyanga,Kahama,0,False,handpump,unknown,unknown,unknown,unknown,groundwater,hand pump,functional
17615,0,30.78966815,-2.47061766,Kagera,Ngara,0,False,gravity,user-group,never pay,good,insufficient,groundwater,communal standpipe,functional
17618,0,31.53714759,-1.39271762,Kagera,Bukoba Rural,0,True,handpump,user-group,never pay,good,enough,groundwater,hand pump,functional
17622,0,0.0,-2e-08,Shinyanga,Bariadi,0,False,handpump,user-group,pay when scheme fails,salty,enough,groundwater,hand pump,functional
17623,0,33.49971735,-2.83722496,Mwanza,Kwimba,0,True,handpump,user-group,never pay,good,enough,groundwater,hand pump,functional
17628,0,31.06467165,-1.27851527,Kagera,Karagwe,0,True,handpump,user-group,never pay,good,enough,groundwater,hand pump,functional
17630,0,33.36857876,-3.18544203,Mwanza,Kwimba,0,True,handpump,user-group,never pay,good,enough,groundwater,hand pump,functional
17632,1326,32.98193976,-2.06873625,Mwanza,Ukerewe,600,True,other,user-group,never pay,good,insufficient,surface,communal standpipe,non functional
17653,1253,34.14651707,-1.70897177,Mara,Musoma Rural,250,True,handpump,user-group,unknown,salty,enough,groundwater,hand pump,non functional
17659,0,33.25872038,-2.55355587,Mwanza,Magu,0,True,handpump,user-group,pay monthly,salty,enough,groundwater,hand pump,functional
17688,0,0.0,-2e-08,Mwanza,Geita,0,True,submersible,user-group,never pay,good,insufficient,surface,communal standpipe,functional
17689,0,0.0,-2e-08,Shinyanga,Bariadi,0,False,handpump,user-group,other,good,enough,groundwater,hand pump,non functional
17693,0,31.67478839,-1.19793405,Kagera,Misenyi,0,True,motorpump,user-group,never pay,good,insufficient,surface,communal standpipe,non functional
17705,0,0.0,-2e-08,Shinyanga,Bariadi,0,False,handpump,user-group,unknown,good,enough,groundwater,hand pump,functional
<<<<<<< HEAD
17709,0,31.772086100000006,-1.01183495,Kagera,Misenyi,0,True,gravity,user-group,pay when scheme fails,good,insufficient,groundwater,communal standpipe,non functional
=======
17709,0,31.772086100000003,-1.01183495,Kagera,Misenyi,0,True,gravity,user-group,pay when scheme fails,good,insufficient,groundwater,communal standpipe,non functional
>>>>>>> 545838695a17209333057dc8c8805e1e5d12ee6f
17728,0,0.0,-2e-08,Mwanza,Geita,0,True,handpump,user-group,unknown,unknown,dry,groundwater,hand pump,non functional
17741,0,33.42691808,-2.60282073,Mwanza,Magu,0,True,motorpump,user-group,never pay,good,dry,groundwater,communal standpipe,functional
17749,0,31.50407172,-2.14125297,Kagera,Muleba,0,True,handpump,user-group,never pay,good,seasonal,groundwater,hand pump,non functional
17758,1854,34.75470492,-1.41334301,Mara,Tarime,1500,True,handpump,user-group,unknown,good,enough,groundwater,hand pump,functional
17760,1248,33.92321768,-1.95531316,Mara,Bunda,200,True,handpump,user-group,unknown,salty,enough,groundwater,hand pump,non functional
17772,0,34.40485596,-2.8913006,Shinyanga,Bariadi,0,False,handpump,user-group,never pay,good,enough,groundwater,hand pump,functional
17781,1693,34.46439322,-1.36995202,Mara,Tarime,150,True,handpump,user-group,unknown,good,enough,groundwater,hand pump,non functional
17788,1265,34.35215341,-1.63835699,Mara,Serengeti,100,False,rope pump,unknown,never pay,good,enough,groundwater,hand pump,functional
17790,0,31.66814226,-1.09395992,Kagera,Misenyi,0,True,gravity,user-group,never pay,good,insufficient,groundwater,communal standpipe,non functional
17800,0,33.39070039999999,-2.60899174,Mwanza,Magu,0,True,handpump,user-group,pay per bucket,good,enough,groundwater,hand pump,non functional
17810,1363,34.17019613,-1.20032794,Mara,Rorya,6800,False,gravity,user-group,never pay,good,enough,surface,communal standpipe,non functional
17817,1188,33.52432426,-1.84652718,Mara,Musoma Rural,453,True,handpump,parastatal,unknown,salty,enough,groundwater,hand pump,functional
17818,0,34.36664091,-2.97447454,Shinyanga,Meatu,0,False,handpump,user-group,never pay,good,enough,groundwater,hand pump,non functional
17827,0,33.40960496,-2.83011808,Mwanza,Kwimba,0,True,handpump,user-group,never pay,good,enough,groundwater,hand pump,non functional
17839,0,32.75440022,-2.69807377,Mwanza,Sengerema,0,True,rope pump,user-group,never pay,salty,seasonal,groundwater,hand pump,non functional
17840,0,31.50416155,-2.04988958,Kagera,Muleba,0,False,gravity,user-group,never pay,good,enough,groundwater,communal standpipe,functional
17846,0,0.0,-2e-08,Shinyanga,Bariadi,0,False,handpump,user-group,never pay,good,insufficient,groundwater,hand pump,functional
17848,0,33.51313243,-3.1095922000000003,Shinyanga,Maswa,0,False,handpump,user-group,never pay,good,enough,groundwater,hand pump,functional
<<<<<<< HEAD
17863,0,33.08012535,-2.4250698,Mwanza,Magu,0,True,handpump,user-group,never pay,good,enough,groundwater,hand pump,functional
=======
17863,0,33.08012535,-2.4250697999999997,Mwanza,Magu,0,True,handpump,user-group,never pay,good,enough,groundwater,hand pump,functional
>>>>>>> 545838695a17209333057dc8c8805e1e5d12ee6f
17880,1177,33.62457372,-2.13799815,Mara,Bunda,807,False,gravity,parastatal,unknown,good,seasonal,surface,communal standpipe,non functional
17883,1392,34.01867244,-1.8007422999999998,Mara,Musoma Rural,320,True,gravity,user-group,unknown,good,enough,surface,communal standpipe,non functional
17905,0,31.06605126,-1.45014439,Kagera,Karagwe,0,True,gravity,other,pay per bucket,good,dry,surface,communal standpipe,non functional
17910,0,34.08328491,-3.06176429,Shinyanga,Maswa,0,False,handpump,user-group,other,good,enough,groundwater,hand pump,functional
17912,0,32.47852608,-2.59916291,Mwanza,Sengerema,0,True,motorpump,user-group,pay per bucket,good,enough,surface,communal standpipe,non functional
17935,0,31.82905109,-1.28224099,Kagera,Bukoba Urban,0,False,handpump,user-group,never pay,good,insufficient,groundwater,hand pump,non functional
17937,1151,33.45249894,-2.14986185,Mara,Bunda,800,True,gravity,user-group,pay per bucket,good,enough,surface,communal standpipe,non functional
17938,0,31.15674157,-1.70893427,Kagera,Karagwe,0,True,gravity,user-group,never pay,good,enough,groundwater,communal standpipe,functional
17946,0,31.49106142,-1.5199068,Kagera,Bukoba Rural,0,True,handpump,user-group,never pay,good,insufficient,groundwater,hand pump,non functional
17949,1617,34.41078525,-1.36384636,Mara,Tarime,70,True,handpump,commercial,unknown,good,enough,groundwater,hand pump,functional
17950,0,0.0,-2e-08,Mwanza,Geita,0,True,handpump,user-group,never pay,unknown,dry,groundwater,hand pump,non functional
17951,0,31.613766,-1.13087361,Kagera,Ngara,0,False,gravity,user-group,pay per bucket,good,enough,groundwater,communal standpipe,non functional
17954,0,31.82844807,-1.28289269,Kagera,Bukoba Urban,0,False,gravity,user-group,never pay,good,insufficient,surface,communal standpipe,functional
17967,0,31.75453128,-1.05893514,Kagera,Misenyi,0,True,gravity,user-group,never pay,good,insufficient,groundwater,communal standpipe,non functional
17973,0,30.66237113,-2.89872904,Kagera,Ngara,0,False,handpump,user-group,never pay,good,enough,groundwater,hand pump,functional
17975,0,0.0,-2e-08,Shinyanga,Bariadi,0,False,handpump,user-group,never pay,good,enough,groundwater,hand pump,non functional
17995,0,31.74869826,-2.44080165,Kagera,Chato,0,True,handpump,user-group,pay monthly,good,enough,groundwater,hand pump,functional
